iter	Passed	Remaining
460	4768	5575
461	4779	5565
462	4789	5555
463	4800	5545
464	4812	5537
465	4825	5529
466	4839	5523
467	4851	5514
468	4863	5505
469	4875	5497
470	4887	5489
471	4901	5482
472	4913	5474
473	4926	5467
474	4939	5459
475	4952	5451
476	4964	5443
477	4980	5438
478	4993	5431
479	5006	5423
480	5019	5416
481	5033	5409
482	5050	5405
483	5062	5397
484	5076	5390
485	5090	5383
486	5103	5376
487	5117	5369
488	5132	5363
489	5146	5356
490	5160	5349
491	5175	5343
492	5188	5336
493	5201	5328
494	5215	5321
495	5232	5317
496	5246	5310
497	5260	5303
498	5275	5296
499	5288	5288
500	5302	5281
501	5316	5274
502	5330	5267
503	5343	5258
504	5356	5250
505	5370	5242
506	5383	5234
507	5395	5225
508	5408	5217
509	5421	5209
510	5435	5201
511	5448	5193
512	5461	5185
513	5477	5178
514	5490	5170
515	5505	5164
516	5520	5157
517	5533	5148
518	5546	5140
519	5559	5131
520	5573	5124
521	5587	5116
522	5602	5109
523	5617	5102
524	5632	5095
525	5646	5088
526	5660	5080
527	5672	5070
528	5684	5061
529	5698	5053
530	5710	5043
531	5724	5035
532	5737	5027
533	5750	5017
534	5763	5009
535	5776	5000
536	5790	4992
537	5802	4982
538	5816	4974
539	5829	4965
540	5842	4957
541	5856	4948
542	5869	4940
543	5881	4930
544	5896	4922
545	5909	4913
546	5923	4905
547	5935	4895
548	5948	4886
549	5961	4877
550	5973	4868
551	5986	4858
552	5998	4848
553	6011	4839
554	6023	4829
555	6036	4820
556	6048	4810
557	6060	4800
558	6073	4791
559	6086	4782
560	6100	4773
561	6112	4763
562	6126	4755
563	6140	4746
564	6154	4738
565	6166	4728
566	6179	4719
567	6192	4709
568	6203	4699
569	6215	4689
570	6228	4679
571	6241	4669
572	6254	4660
573	6266	4651
574	6278	4640
575	6290	4630
576	6301	4619
577	6312	4608
578	6325	4599
579	6337	4589
580	6350	4579
581	6363	4570
582	6375	4560
583	6389	4551
584	6404	4543
585	6419	4535
586	6432	4525
587	6445	4516
588	6457	4506
589	6470	4496
590	6484	4487
591	6496	4477
592	6510	4468
593	6523	4459
594	6537	4449
595	6548	4439
596	6561	4429
597	6575	4420
598	6588	4410
599	6603	4402
600	6615	4391
601	6626	4381
602	6638	4370
603	6650	4360
604	6662	4349
605	6673	4339
606	6685	4328
607	6698	4318
608	6710	4308
609	6722	4298
610	6734	4287
611	6745	4276
612	6758	4266
613	6771	4257
614	6783	4246
615	6796	4236
616	6808	4226
617	6821	4216
618	6834	4206
619	6846	4196
620	6859	4186
621	6873	4176
622	6885	4166
623	6899	4157
624	6912	4147
625	6924	4137
626	6936	4126
627	6949	4116
628	6961	4106
629	6975	4096
630	6988	4086
631	7000	4076
632	7013	4066
633	7025	4055
634	7037	4045
635	7050	4035
636	7061	4023
637	7074	4013
638	7085	4002
639	7096	3991
640	7107	3980
641	7119	3969
642	7131	3959
643	7142	3948
644	7154	3937
645	7165	3926
646	7177	3915
647	7188	3904
648	7199	3893
649	7211	3882
650	7221	3871
651	7232	3860
652	7245	3850
653	7256	3838
654	7267	3828
655	7278	3817
656	7290	3806
657	7301	3794
658	7312	3783
659	7323	3772
660	7335	3761
661	7347	3751
662	7358	3740
663	7369	3729
664	7380	3717
665	7391	3706
666	7402	3695
667	7414	3684
668	7425	3673
669	7436	3662
670	7448	3652
671	7459	3641
672	7471	3630
673	7483	3619
674	7496	3609
675	7506	3597
676	7518	3587
677	7530	3576
678	7541	3565
679	7553	3554
680	7564	3543
681	7575	3532
682	7587	3521
683	7599	3510
684	7609	3499
685	7620	3488
686	7632	3477
687	7643	3466
688	7653	3454
689	7665	3444
690	7677	3433
691	7689	3422
692	7702	3412
693	7714	3401
694	7728	3391
695	7740	3380
696	7752	3369
697	7765	3360
698	7777	3349
699	7789	3338
700	7801	3327
701	7813	3316
702	7825	3306
703	7837	3295
704	7849	3284
705	7861	3273
706	7874	3263
707	7885	3252
708	7897	3241
709	7908	3230
710	7920	3219
711	7931	3208
712	7942	3197
713	7953	3185
714	7963	3174
715	7975	3163
716	7987	3152
717	7998	3141
718	8010	3130
719	8022	3119
720	8033	3108
721	8044	3097
722	8054	3085
723	8065	3074
724	8076	3063
725	8087	3052
726	8099	3041
727	8110	3030
728	8121	3019
729	8133	3008
730	8144	2997
731	8155	2985
732	8166	2974
733	8177	2963
734	8189	2952
735	8201	2941
736	8212	2930
737	8223	2919
738	8234	2908
739	8246	2897
740	8258	2886
741	8270	2875
742	8281	2864
743	8292	2853
744	8304	2842
745	8317	2832
746	8329	2821
747	8340	2810
748	8352	2798
749	8363	2787
750	8376	2777
751	8388	2766
752	8398	2754
753	8408	2743
754	8420	2732
755	8430	2721
756	8441	2709
757	8453	2698
758	8465	2688
759	8477	2677
760	8489	2666
761	8501	2655
762	8513	2644
763	8527	2634
764	8539	2623
765	8551	2612
766	8562	2601
767	8574	2590
768	8587	2579
769	8599	2568
770	8611	2557
771	8624	2547
772	8635	2535
773	8648	2525
774	8660	2514
775	8672	2503
776	8684	2492
777	8696	2481
778	8708	2470
779	8719	2459
780	8730	2448
781	8743	2437
782	8755	2426
783	8767	2415
784	8780	2404
785	8792	2393
786	8804	2382
787	8816	2371
788	8828	2360
789	8840	2349
790	8851	2338
791	8863	2327
792	8876	2317
793	8889	2306
794	8901	2295
795	8913	2284
796	8925	2273
797	8936	2262
798	8948	2251
799	8960	2240
800	8971	2228
801	8983	2217
802	8995	2206
803	9006	2195
804	9018	2184
805	9031	2173
806	9043	2162
807	9055	2151
808	9068	2141
809	9081	2130
810	9094	2119
811	9107	2108
812	9119	2097
813	9132	2086
814	9144	2075
815	9157	2064
816	9170	2054
817	9182	2043
818	9195	2032
819	9207	2021
820	9220	2010
821	9233	1999
822	9246	1988
823	9258	1977
824	9272	1966
825	9286	1956
826	9299	1945
827	9312	1934
828	9326	1923
829	9338	1912
830	9351	1901
831	9364	1890
832	9376	1879
833	9388	1868
834	9399	1857
835	9411	1846
836	9423	1835
837	9435	1824
838	9446	1812
839	9457	1801
840	9469	1790
841	9480	1779
842	9491	1767
843	9503	1756
844	9514	1745
845	9525	1733
846	9538	1722
847	9549	1711
848	9561	1700
849	9573	1689
850	9585	1678
851	9596	1666
852	9608	1655
853	9620	1644
854	9631	1633
855	9643	1622
856	9654	1611
857	9666	1599
858	9677	1588
859	9688	1577
860	9699	1565
861	9710	1554
862	9721	1543
863	9733	1532
864	9744	1520
865	9756	1509
866	9767	1498
867	9778	1487
868	9791	1476
869	9802	1464
870	9814	1453
871	9826	1442
872	9838	1431
873	9849	1419
874	9860	1408
875	9872	1397
876	9882	1386
877	9894	1374
878	9905	1363
879	9916	1352
880	9929	1341
881	9941	1329
882	9952	1318
883	9963	1307
884	9975	1296
885	9986	1284
886	9998	1273
887	10011	1262
888	10022	1251
889	10034	1240
890	10045	1228
891	10057	1217
892	10068	1206
893	10080	1195
894	10091	1183
895	10102	1172
896	10114	1161
897	10125	1150
898	10136	1138
899	10147	1127
900	10158	1116
901	10169	1104
902	10181	1093
903	10193	1082
904	10205	1071
905	10216	1059
906	10227	1048
907	10238	1037
908	10249	1026
909	10260	1014
910	10272	1003
911	10284	992
912	10295	981
913	10307	969
914	10318	958
915	10329	947
916	10341	936
917	10353	924
918	10366	913
919	10377	902
920	10389	891
921	10400	879
922	10411	868
923	10423	857
924	10434	846
925	10445	834
926	10457	823
927	10469	812
928	10480	800
929	10491	789
930	10502	778
931	10513	767
932	10525	755
933	10538	744
934	10550	733
935	10561	722
936	10572	710
937	10584	699
938	10595	688
939	10607	677
940	10620	665
941	10631	654
942	10642	643
943	10653	631
944	10664	620
945	10676	609
946	10687	598
947	10698	586
948	10709	575
949	10720	564
950	10732	552
951	10743	541
952	10755	530
953	10766	519
954	10778	507
955	10790	496
956	10803	485
957	10814	474
958	10825	462
959	10836	451
960	10847	440
961	10858	428
962	10870	417
963	10881	406
964	10892	395
965	10903	383
966	10914	372
967	10925	361
968	10937	349
969	10948	338
970	10959	327
971	10971	316
972	10982	304
973	10994	293
974	11005	282
975	11016	270
976	11028	259
977	11039	248
978	11051	237
979	11062	225
980	11073	214
981	11084	203
982	11096	191
983	11107	180
984	11118	169
985	11130	158
986	11141	146
987	11153	135
988	11165	124
989	11177	112
990	11188	101
991	11200	90
992	11211	79
993	11222	67
994	11234	56
995	11245	45
996	11256	33
997	11267	22
998	11278	11
999	11290	0
